Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,CareerAtCompany_ratio,RoleStability_ratio,ManagerStability_ratio,CareerStart_Age,IncomePerExperience,BurnoutRisk,Satisfaction_Composite,Stability_Score,Stress_Amplifier
40,1,905,1,19,2,3,3,1,99,3,2,2,4,1,2741,16523,8,1,15,3,1,15,2,4,7,2,3,7,0.4666666666666667,0.2857142857142857,1.0,25,182.73333333333332,0,3.3333333333333335,0.5841269841269842,2
40,1,575,2,22,2,2,3,1,68,2,2,7,3,1,6380,6110,2,1,12,1,2,8,6,3,6,4,1,0,0.75,0.6666666666666666,0.0,32,797.5,0,2.3333333333333335,0.47222222222222215,2
32,1,929,2,10,3,2,4,1,55,3,2,7,4,2,5396,21703,1,0,12,4,0,10,2,2,10,7,0,8,1.0,0.7,0.8,22,539.6,0,4.0,0.8333333333333334,2
34,1,511,2,3,2,1,4,0,32,1,2,7,4,2,6029,25353,5,0,12,1,0,6,3,3,2,2,2,2,0.3333333333333333,1.0,1.0,28,1004.8333333333334,1,3.0,0.7777777777777777,0
37,1,228,2,6,4,3,3,1,98,3,2,7,4,1,6502,22825,4,0,14,2,1,7,5,4,5,4,0,1,0.7142857142857143,0.8,0.2,30,928.8571428571429,1,3.0,0.5714285714285714,0
35,2,1199,1,18,4,1,3,1,80,3,2,0,3,1,5689,24594,1,1,14,4,2,10,2,4,10,2,0,2,1.0,0.2,0.2,25,568.9,0,3.3333333333333335,0.4666666666666666,2
31,1,408,1,9,4,1,3,1,42,2,1,6,2,2,2657,7551,0,1,16,4,0,3,5,3,2,2,2,2,0.6666666666666666,1.0,1.0,28,885.6666666666666,0,3.0,0.8888888888888888,3
51,1,770,0,5,3,1,3,1,84,3,4,3,2,0,14026,17588,1,1,11,2,1,33,2,3,33,9,0,10,1.0,0.2727272727272727,0.30303030303030304,18,425.030303030303,0,2.3333333333333335,0.5252525252525252,3
47,1,202,1,2,2,4,3,0,33,3,4,3,4,1,16752,12982,1,1,11,3,1,26,3,2,26,14,3,0,1.0,0.5384615384615384,0.0,21,644.3076923076923,2,3.3333333333333335,0.5128205128205128,4
50,1,797,1,4,1,1,1,1,96,3,5,5,2,0,19144,15815,3,0,14,1,2,28,4,2,10,4,1,6,0.35714285714285715,0.4,0.6,22,683.7142857142857,0,1.3333333333333333,0.4523809523809524,3
30,1,911,1,1,2,3,4,1,76,3,1,2,2,1,3748,4077,1,0,13,3,0,12,6,2,12,8,1,7,1.0,0.6666666666666666,0.5833333333333334,18,312.3333333333333,0,3.0,0.75,3
38,1,201,1,10,3,3,2,0,99,1,3,5,3,1,13206,3376,3,0,12,1,1,20,3,3,18,16,1,11,0.9,0.8888888888888888,0.6111111111111112,18,660.3,1,2.0,0.7999999999999999,0
46,2,1211,2,5,4,2,1,1,98,3,2,7,4,2,5772,20445,4,1,21,3,0,14,4,3,9,6,0,8,0.6428571428571429,0.6666666666666666,0.8888888888888888,32,412.2857142857143,0,2.6666666666666665,0.7328042328042329,2
39,0,105,1,9,3,1,4,1,87,3,5,3,4,2,19431,15302,2,0,13,3,0,21,3,2,6,0,1,3,0.2857142857142857,0.0,0.5,18,925.2857142857143,0,3.6666666666666665,0.2619047619047619,2
27,1,1377,1,11,1,1,2,1,91,3,1,2,1,1,2099,7679,0,0,14,2,0,6,3,4,5,0,1,4,0.8333333333333334,0.0,0.8,21,349.8333333333333,1,1.6666666666666667,0.5444444444444444,1
37,1,1439,1,4,1,1,3,1,54,3,1,6,3,1,2996,5182,7,1,15,4,0,8,2,3,6,4,1,3,0.75,0.6666666666666666,0.5,29,374.5,0,3.3333333333333335,0.6388888888888888,2
34,1,970,1,8,2,3,2,0,96,3,2,0,3,2,6142,7360,3,0,11,4,0,10,2,3,5,1,4,3,0.5,0.2,0.6,24,614.2,1,3.0,0.4333333333333333,0
49,1,1313,2,11,4,2,4,0,80,3,2,7,4,2,4507,8191,3,0,12,3,0,8,1,4,5,1,0,4,0.625,0.2,0.8,41,563.375,1,3.6666666666666665,0.5416666666666666,0
46,0,849,2,26,2,1,2,1,98,2,2,7,2,2,7991,25166,8,0,15,3,0,6,3,3,2,2,2,2,0.3333333333333333,1.0,1.0,40,1331.8333333333333,1,2.3333333333333335,0.7777777777777777,1
31,1,249,2,6,4,1,2,1,76,1,2,7,3,1,6172,20739,4,1,18,2,0,12,3,2,7,7,7,7,0.5833333333333334,1.0,1.0,19,514.3333333333334,2,2.3333333333333335,0.8611111111111112,4
31,1,1062,1,24,3,3,3,0,96,2,2,0,1,2,6812,17198,1,0,19,2,0,10,2,3,10,9,1,8,1.0,0.9,0.8,21,681.2,1,2.0,0.9,1
55,1,836,1,8,3,3,4,0,33,3,4,3,3,0,14756,19730,2,1,14,3,3,21,2,3,5,0,0,2,0.23809523809523808,0.0,0.4,34,702.6666666666666,0,3.3333333333333335,0.2126984126984127,2
42,0,335,1,23,2,1,4,1,37,2,2,6,3,2,4332,14811,1,0,12,4,0,20,2,3,20,9,3,7,1.0,0.45,0.35,22,216.6,1,3.6666666666666665,0.6,0
36,1,530,2,3,1,1,3,1,51,2,3,7,4,1,10325,5518,1,1,11,1,1,16,6,3,16,7,3,7,1.0,0.4375,0.4375,20,645.3125,0,2.6666666666666665,0.625,2
48,1,817,2,2,1,2,2,1,56,4,2,7,2,1,8120,18597,3,0,12,4,0,12,3,3,2,2,2,2,0.16666666666666666,1.0,1.0,36,676.6666666666666,1,2.6666666666666665,0.7222222222222223,1
31,1,154,2,7,4,1,2,1,41,2,1,8,3,1,2329,11737,3,0,15,2,0,13,2,4,7,7,5,2,0.5384615384615384,1.0,0.2857142857142857,18,179.15384615384616,1,2.3333333333333335,0.608058608058608,0
37,1,408,1,19,2,1,2,1,73,3,1,6,2,1,3022,10227,4,0,21,1,0,8,1,3,1,0,0,0,0.125,0.0,0.0,29,377.75,1,1.6666666666666667,0.041666666666666664,1
46,1,488,2,2,3,5,3,0,75,1,4,3,2,1,16872,14977,3,1,12,2,1,28,2,2,7,7,7,7,0.25,1.0,1.0,18,602.5714285714286,2,2.3333333333333335,0.75,5
28,0,1103,1,16,3,3,3,1,49,3,1,6,3,2,2144,2122,1,0,14,3,0,5,3,2,5,3,1,4,1.0,0.6,0.8,23,428.8,0,3.0,0.8000000000000002,2
45,0,589,2,2,4,1,3,0,67,3,2,7,3,1,5154,19665,4,0,22,2,2,10,3,4,8,7,5,7,0.8,0.875,0.875,35,515.4,1,2.6666666666666665,0.85,0
40,1,1124,2,1,2,3,2,1,57,1,2,7,4,1,7457,13273,2,1,22,3,3,6,2,2,4,3,0,2,0.6666666666666666,0.75,0.5,34,1242.8333333333333,2,3.0,0.6388888888888888,4
28,2,783,2,1,2,1,3,1,42,2,2,7,4,1,6834,19255,1,1,12,3,1,7,2,3,7,7,0,7,1.0,1.0,1.0,21,976.2857142857143,0,3.3333333333333335,1.0,2
58,1,848,1,23,4,1,1,1,88,3,1,6,3,0,2372,26076,1,0,12,4,2,2,3,3,2,2,2,2,1.0,1.0,1.0,56,1186.0,1,2.6666666666666665,1.0,0
42,1,1128,1,13,3,3,2,1,95,4,2,0,1,1,5538,5696,5,0,18,3,2,10,2,2,0,0,0,0,0.0,0.0,0.0,32,553.8,0,2.0,0.0,3
38,1,433,0,1,3,0,3,1,37,4,1,1,3,1,2844,6004,1,0,13,4,1,7,2,4,7,6,5,0,1.0,0.8571428571428571,0.0,31,406.2857142857143,1,3.3333333333333335,0.6190476190476191,0
42,1,622,1,2,4,1,3,0,81,3,2,0,4,1,4089,5718,1,0,13,2,2,10,4,3,10,2,2,2,1.0,0.2,0.2,32,408.9,1,3.0,0.4666666666666666,0
21,1,391,1,15,2,1,3,1,96,3,1,6,4,2,1232,19281,1,0,14,4,0,0,6,3,0,0,0,0,0.0,0.0,0.0,21,1232.0,1,3.6666666666666665,0.0,0
20,1,129,1,4,3,5,1,1,84,3,1,2,1,2,2973,13008,1,0,19,2,0,1,2,3,1,0,0,0,1.0,0.0,0.0,19,2973.0,1,1.3333333333333333,0.3333333333333333,1
40,1,118,2,14,2,1,4,0,84,3,2,7,1,1,4639,11262,1,0,15,3,1,5,2,3,5,4,1,2,1.0,0.8,0.4,35,927.8,1,2.6666666666666665,0.7333333333333334,1
31,0,697,1,10,3,3,3,0,40,3,3,5,3,1,11031,26862,4,0,20,3,1,13,2,4,11,7,4,8,0.8461538461538461,0.6363636363636364,0.7272727272727273,18,848.5384615384615,1,3.0,0.7365967365967366,0
32,1,498,1,3,4,3,3,0,93,3,2,4,1,1,6725,13554,1,0,12,3,1,8,2,4,8,7,6,3,1.0,0.875,0.375,24,840.625,1,2.3333333333333335,0.75,1
38,1,1180,1,29,1,3,2,1,70,3,2,0,1,1,6673,11354,7,1,19,2,0,17,2,3,1,0,0,0,0.058823529411764705,0.0,0.0,21,392.52941176470586,0,1.6666666666666667,0.0196078431372549,3
58,1,605,2,21,3,1,4,0,72,3,4,3,4,1,17875,11761,4,1,13,3,1,29,2,2,1,0,0,0,0.034482758620689655,0.0,0.0,29,616.3793103448276,2,3.6666666666666665,0.011494252873563218,4
32,1,646,1,9,4,1,1,0,92,3,2,6,4,1,6322,18089,1,1,12,4,1,6,2,2,6,4,0,5,1.0,0.6666666666666666,0.8333333333333334,26,1053.6666666666667,2,3.0,0.8333333333333334,4
28,1,1485,1,12,1,1,3,0,79,3,1,2,4,1,2515,22955,1,1,11,4,0,1,4,2,1,1,0,0,1.0,1.0,0.0,27,2515.0,2,3.6666666666666665,0.6666666666666666,4
31,2,1060,2,1,3,1,4,0,54,3,1,8,2,2,2302,8319,1,1,11,1,0,3,2,4,3,2,2,2,1.0,0.6666666666666666,0.6666666666666666,28,767.3333333333334,0,2.3333333333333335,0.7777777777777777,3
